geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
Oregon,751,0,65,1446,638,27,236,1705,239,793,546,285,1885,262,22,517,1926,11,75,471,168,0,73,2753,6,65,1736,198,26,975,80,293,195,107,2325,0,62,529,0,2409,633,337,108,1872,50,396,852,1298,454
Pennsylvania,364,0,317,1429,890,15,116,1929,122,818,411,117,2247,216,9,626,1881,5,34,454,134,0,53,2813,0,66,1911,315,9,699,51,352,224,104,2269,0,83,483,8,2426,631,134,95,2101,39,480,460,1541,519
Rhode Island,200,0,250,600,750,31,138,1942,225,664,634,246,1745,357,18,501,1900,24,84,491,186,0,74,2726,14,107,1582,403,0,908,152,382,294,265,1907,0,200,587,0,2113,529,138,0,2333,0,487,406,1645,162
South Carolina,453,0,238,1159,650,43,96,1569,130,1162,288,95,2352,254,11,603,1852,27,49,469,60,0,31,2907,2,61,2088,234,15,602,35,377,196,70,2322,0,0,407,0,2593,588,337,65,1985,25,613,695,1336,356
South Dakota,0,0,0,0,500,0,25,1748,235,992,403,216,2223,102,56,733,1769,0,42,456,99,0,58,2836,7,49,1996,259,0,696,19,282,359,81,2259,0,0,172,0,2428,832,315,0,1653,0,700,400,600,100
Tennessee,158,0,151,1176,1015,13,137,1677,113,1060,285,172,2371,155,17,700,1842,9,32,417,64,0,29,2905,2,68,2001,215,10,706,42,277,242,43,2396,0,71,394,0,2535,647,180,175,1956,42,615,834,1001,550
Texas,234,0,340,981,1445,11,92,1680,93,1124,331,114,2416,137,2,577,1964,0,31,428,63,0,27,2910,0,37,2152,279,3,529,48,292,192,62,2406,0,47,277,5,2671,567,186,89,2136,22,802,558,1071,569
Utah,475,0,475,710,1040,24,166,1696,260,854,479,258,1988,246,29,630,1801,14,61,494,80,0,29,2891,0,66,1741,257,24,912,86,297,224,128,2265,0,46,474,0,2480,1193,119,58,1620,10,785,530,1346,339
Vermont,450,0,0,600,650,0,91,1923,186,800,809,442,1439,292,18,636,1828,39,52,445,322,0,142,2500,36,99,1450,315,12,1124,97,560,342,197,1804,0,78,738,0,1984,192,90,0,2418,0,54,481,1466,199
Virginia,179,0,215,1412,1094,13,115,1741,164,967,314,104,2385,179,18,532,1959,10,39,460,113,0,68,2804,15,109,1996,233,19,643,64,307,255,116,2258,0,125,773,4,2098,446,276,181,2064,33,750,535,1320,395
Washington,245,0,140,1433,1182,17,175,1962,145,701,574,211,1979,213,23,494,1975,7,66,458,145,0,57,2798,0,48,1879,183,23,867,97,282,221,102,2298,0,42,950,0,2008,438,338,131,2079,14,426,649,1309,616
West Virginia,150,0,0,1017,433,0,80,1837,52,1031,467,151,2168,214,0,515,1843,11,58,573,59,0,37,2892,12,25,1987,347,0,641,75,290,252,82,2301,0,123,505,0,2172,690,91,66,2053,0,367,433,817,583
Wisconsin,299,0,194,1427,1080,22,115,1878,130,855,446,167,2169,184,34,681,1783,8,37,491,92,0,35,2871,2,75,1913,232,21,759,57,247,298,78,2320,0,118,505,0,2377,585,196,77,2104,38,597,660,1211,532
Wyoming,0,0,0,0,100,0,225,1545,0,930,475,116,1892,192,25,848,1574,13,124,441,126,0,92,2768,14,33,1565,294,0,1108,36,154,268,41,2501,0,0,200,0,2300,731,184,0,1285,0,301,149,800,150
